,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
180,TOP,F41M05i62Nw1lVrfd1atluY4fYqtLMtRzAMixBVlfhW6vQ,517,6,3,15,3,1,29163,9691,7512,22739,12524,16,3,27,27,3157,3152,3041,3020,0,3165,3340,Sylas
390,TOP,Jnbw-1I952Djdf8kNGadDSDnkdlUg1e621a66i-HAHKrhDQ,163,4,4,11,2,1,9796,11092,2255,14925,9226,13,1,30,8,2033,3108,3285,2421,3111,3191,3340,Taliyah
590,TOP,KuDBl7qecJa2Y7EW5SRh9J2XcoQ4m69KViKrsDztgjM111Y,517,4,9,5,2,1,6648,3168,130,21623,10634,14,1,15,10,3165,3152,3157,0,3020,1082,3340,Sylas
699,TOP,xWebl5F8VNrkYlsZlc4dMmnJxIPhYJ4AUP_nQXDYZaVpZw,104,7,4,5,4,1,22269,11399,6658,27669,13684,17,1,16,15,1055,3812,0,3111,3071,3046,3340,Graves
846,TOP,58KXtoMDsQgPU0GMrrv2po1_whZv4tqkUeE94SrH_CXUhg,517,4,7,6,2,1,18760,12753,1169,25861,10392,15,2,32,25,2421,3152,2033,3285,3111,3191,3363,Sylas
904,TOP,GhsCCGaHA5jy6oswPlv8z8XmSX39fnPbrOLI0iMsmDpNBKQ,517,5,7,10,3,1,21950,3068,3068,27329,10514,14,4,19,28,2033,3285,3020,3089,1082,1052,3340,Sylas
1119,TOP,q6U8i9bQQyxLK28R3rDk9qxiZNE0JINdVTVqb6OLRLR4lQ,48,1,6,0,0,1,10421,4346,1917,25755,6762,12,1,10,13,3047,3077,3143,2033,1055,0,3340,Trundle
1197,TOP,y-nxHMP-1KCSVXgcHH8d67wdEi6sHAGVKRdGMHv2feeOiqY,517,2,3,12,0,1,11782,2760,1799,12951,8271,14,1,18,14,3285,3152,2033,3047,0,0,3340,Sylas
1201,TOP,2etSRsxjiA1RIu5GaiIw8SMNrjbokp3mWN9IpvD0kBKUllM,517,8,3,4,4,2,18096,9036,3173,16161,11314,15,0,6,20,3191,3152,2033,3285,3041,3020,3340,Sylas
1340,TOP,PCMDHbXfu008zLzjAu26iYiY_HKuiv-0dz7W41pvEqebL5Y,59,5,8,19,3,2,17430,8101,2939,34288,12004,16,0,24,28,3748,3193,2033,3047,3071,3052,3340,JarvanIV
1793,TOP,Sep9msxDi_wjYLcLhuVCXDa3swsct7PUWZxmZSlnr0w0hmo,517,1,6,5,0,1,10449,1719,1719,20001,9281,14,5,24,15,3157,3152,3916,3047,0,2055,3363,Sylas
1905,TOP,_URcV2R1OUTmIVZZ_7Qh_HjcK1Hajxj2Ma6y7cs6-o9Il8A,120,3,3,6,3,2,13056,6007,3169,25924,9306,14,2,26,16,3065,1028,1028,3078,3047,0,3340,Hecarim
2027,TOP,px69r0flGU0o4Uv3SLN_dhQ_vAPoSBu-TaNXZXYj_6KyUA,120,1,7,2,0,1,12222,7955,4182,35188,10044,15,0,15,13,2033,3078,3047,3065,1028,3052,3340,Hecarim
2167,TOP,C4uMzdEdfrSKzevksNd8c9lqsg0A-mEP0rB7MpN_uu8MCg,517,3,5,0,3,1,10243,126,126,20189,6345,11,3,18,18,3152,2033,3802,1056,3111,0,3340,Sylas
