,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
8,TOP,xZllBInoF5UYOeC_J6ajwRfaQVXhWuT3MKuQcst6XQcX_g,518,3,6,4,2,1,16640,19544,6147,18458,11011,15,0,18,25,1018,3153,3006,3123,3085,1037,3340,Neeko
14,TOP,pABgmovHF4o0fkvV07C0tyAMO4ohie9lgkV3kNymHXscISS1FPzYmusB,13,4,3,8,2,2,13014,7945,1234,11345,9202,13,2,15,12,3040,3907,0,0,0,3158,3340,Ryze
65,TOP,mYXAG2pxtnLB2OL1J07x1YS0e37PkCmtsOlS9PHdcu_jL40,268,7,6,7,2,1,27212,5089,4542,18927,13468,15,3,22,12,1058,3157,3115,1058,3020,3135,3363,Azir
107,TOP,CdvbZGOaUL2ZdkQ2q_sN7Dfj6U-j43AIvQNMfgxYz5E26X597gDUwizZ,42,4,6,3,3,2,21081,4272,1272,20363,11497,15,4,25,0,3020,3031,0,3078,3046,0,3363,Corki
243,TOP,dBRVgXQf7y-HECfH7u5uhFgocl8ELZvnFa6JuMhoTgngAA,136,3,2,2,2,1,5804,0,0,11131,7530,11,2,7,10,2033,1082,3020,3027,3116,2055,3340,AurelionSol
313,TOP,bGr31kb_bZi6epNGn9CZBEfwp9mogrErxiHrxEc_5yA5FQ,246,12,5,12,7,2,32448,4715,1737,30904,13827,16,2,13,16,2033,2421,3142,3047,3071,3147,3363,Qiyana
426,TOP,F41M05i62Nw1lVrfd1atluY4fYqtLMtRzAMixBVlfhW6vQ,4,10,7,11,5,1,19492,13749,11740,31003,18692,18,6,30,45,3026,3031,3022,3078,3006,3094,3340,TwistedFate
431,TOP,F41M05i62Nw1lVrfd1atluY4fYqtLMtRzAMixBVlfhW6vQ,4,12,6,9,7,3,26302,9374,7978,21652,14486,15,4,36,61,3026,3031,0,3094,3078,3006,3340,TwistedFate
452,TOP,F41M05i62Nw1lVrfd1atluY4fYqtLMtRzAMixBVlfhW6vQ,4,4,6,8,2,2,10005,5047,3247,15643,9789,13,4,36,28,2033,1042,0,3078,3111,3091,3340,TwistedFate
482,TOP,F41M05i62Nw1lVrfd1atluY4fYqtLMtRzAMixBVlfhW6vQ,4,7,5,12,3,2,19544,8739,5599,22489,11882,14,4,20,45,2033,3111,3140,3078,3094,1053,3364,TwistedFate
485,TOP,DYW6XWP6IDd_l2PMF4Q82Vw88IzkMdHFRUUQdzBFKiDCnyTLVL1JamZk,84,7,6,5,3,2,18310,5451,3725,33515,14925,17,4,39,9,3191,2421,3146,3165,3089,3020,3340,Akali
515,TOP,qhAkDI2T8Uf8oiUDQO0xBvxOB-mFcBH49IzENoj4tsFbFg,91,5,6,8,2,1,18020,11806,3168,22710,11861,15,2,27,4,3077,3133,3814,3147,3111,3134,3363,Talon
574,TOP,QTJIMVHOllBYkavZD8f5qDMBlP-6EFtu5ZD2v9Dgq5V6UNY,112,7,5,10,6,2,24408,3438,3438,12812,11070,15,0,11,20,3040,2421,3198,1056,3191,3020,3340,Viktor
586,TOP,EfIFcW1Xpz96ygvuugAZFXELuokeB6HHECrlh4ipPLPhkQ,518,3,9,7,0,1,16653,6083,4018,24299,12178,16,1,25,47,3030,3905,3157,0,3020,3916,3340,Neeko
647,TOP,_sVU2gU9ULAv4tmUkIs1uTDHP0y_AWDEyQNotrOYrXjmPz0,238,9,3,7,4,1,12584,4906,4906,9224,10863,13,2,15,2,3047,1029,1037,3142,3147,0,3340,Zed
652,TOP,khp9X8OZk3kLykpnBVTn0VonpHd9C_CrEpcqdS_b68qEims,84,2,12,6,0,1,11787,0,0,22538,5873,11,1,13,5,1054,3146,1052,1028,1001,0,3340,Akali
711,TOP,KVGSECYgkQi8KMEGKWEwkV1dBy-BXAK-3V-w09ohS6EHHQ,4,8,9,15,5,1,28618,6586,1496,29578,11788,15,1,21,70,3094,2033,2421,3078,3124,3111,3340,TwistedFate
753,TOP,lTqXDsRx61HN2yfvlMI2q4MX8tiv1acDwkqs8sTSBP3nyg,246,7,4,3,3,1,13424,3582,1449,17361,9070,13,1,6,18,3071,3053,2033,1001,0,3077,3340,Qiyana
816,TOP,27t5KxsERhNRPBIMQebXUlpwqkiLsdAl9riOulxrzNAjzA,38,10,3,5,8,3,25147,9570,5903,24222,13112,16,2,24,24,3040,2055,3027,3020,1082,3165,3340,Kassadin
818,TOP,XliGmUN_gWrTElHYCsBZAo3Sr3I7HLagOjae0TBEFY6ozg,245,3,2,1,2,1,5786,7900,7900,12706,8720,12,4,21,4,1056,2055,3152,3020,3100,1052,3340,Ekko
835,TOP,HlG3AlNzr8DfB0_nrLSv5uGeCrOQFWN8E4NZUB1nOtlSkl0,238,2,3,7,2,1,22502,13614,5610,19899,15513,18,0,19,11,3142,3026,3071,3111,3036,3147,3364,Zed
892,TOP,tpef3L__yNlFXWvoBKYY_JT9RNlw7p_SVW8kwy9J-zc3Dw,127,0,0,3,0,0,7726,2003,126,6283,7750,13,3,14,13,3285,2033,0,3191,3108,1001,3363,Lissandra
