,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
361,TOP,t8vdTfp3opWjJAzFdEZK_aIMqDNJFpfUQUc9bqqfAqJYHg,99,2,4,33,0,1,11761,3071,1526,10766,10820,14,6,75,61,3098,3222,3107,3504,3117,1026,3364,Lux
397,TOP,Oa73sgQjlcCTWQJz2i7LjZicDPgkjp2PPyaLF_RH4MQgAL0,43,6,8,8,2,1,19492,8364,5598,22012,11983,14,2,21,40,3174,3285,2421,3191,3504,3020,3340,Karma
412,TOP,iOIjWZ8Olzb3zKxlaZMHD8bWCb7aGFcWM5L1vjThJ6UfDMo,43,2,4,3,0,1,13859,148,66,19277,7891,13,1,14,29,1056,3027,3111,3916,0,3041,3340,Karma
489,TOP,F41M05i62Nw1lVrfd1atluY4fYqtLMtRzAMixBVlfhW6vQ,43,4,2,10,3,1,19515,10652,6598,18308,12140,16,7,14,25,2055,3174,3285,1056,3089,3020,3364,Karma
608,TOP,F2-RIJW-55jLB-xRRQzZSonMdQWsPLZ5VVxiODCSNIkZQpk,43,5,8,9,2,1,15718,1316,1122,20207,9770,14,3,26,35,3030,2033,3905,3916,3020,1026,3340,Karma
663,TOP,nbxOSGOV7iEaoSr4EqwPrkeYrqHRVcCKZz_6De9fDhBczA,43,5,15,10,2,2,25611,823,823,28858,9894,14,1,20,34,1056,1026,3285,3174,3020,3916,3340,Karma
837,TOP,2etSRsxjiA1RIu5GaiIw8SMNrjbokp3mWN9IpvD0kBKUllM,555,3,4,1,0,1,8594,1801,1801,13898,8130,12,5,24,18,2055,3077,3134,3147,3117,0,3364,Pyke
867,TOP,Q4IK5a6sZa7y-KYRxxrQ5Tx6Jrmls0xX2rqeROD70i6j9g,3,7,8,7,4,2,7368,0,0,18860,8028,10,7,29,29,2055,1031,3067,3401,3190,3111,3364,Galio
1257,TOP,ZGwKoxhW67der3F53amWj896m94W6zSTISNju7NCdieoQZU,555,8,5,3,5,2,9503,0,0,12716,7765,11,2,15,13,3147,3117,3077,1054,1036,1036,3364,Pyke
1294,TOP,gSt9HmyDnChd0q6NJW4fJHc0zLxw33oDjTQ5GDXhaDfjGw,223,6,7,11,2,2,19480,6367,2074,25728,10449,15,0,5,44,2033,3068,3047,3075,3065,0,3340,TahmKench
1668,TOP,e-zSRF_jvA2HvzQYvYM15RCZ2SYc09LGv-drlrlHwpoWTQ,43,0,6,2,0,0,8380,0,0,12299,5657,11,2,18,30,2424,2033,0,3020,1033,3025,3340,Karma
1871,TOP,SsBZXARkTu7OhAGLxrVBeAPxvlftj8ITuYyYOe_DWNJqgyaS5hWFGFtG,555,9,4,10,9,3,14718,2553,2423,21247,11001,14,0,16,24,3077,3812,3117,3147,3134,3400,3340,Pyke
